code,name,type,credits,T_hours,P_hours,program,semester,section,duration_slots,room_type,allowed_days,allowed_start_slots,faculty_pool
CS301,Data Structures,Major,4,3,2,Computer Science,3,A,6,Lecture Hall,"[0, 1, 2, 3, 4]","[1, 3, 5, 7, 9]","[1, 5]"
CS302,Algorithms,Major,4,3,2,Computer Science,3,A,6,Lecture Hall,"[0, 1, 2, 3, 4]","[1, 3, 5, 7, 9]","[1, 5]"
CS303,Software Engineering,Major,3,2,2,Computer Science,3,A,4,Computer Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[5]"
CS101,Programming Fundamentals,Major,4,3,2,Computer Science,1,A,6,Computer Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7, 9]","[1, 5]"
CS201,Object-Oriented Programming,Major,3,2,2,Computer Science,2,A,4,Computer Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[5]"
MATH201,Calculus III,Major,4,3,1,Computer Science,3,A,4,Lecture Hall,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[2]"
MATH101,Calculus I,Major,4,3,1,Computer Science,1,A,4,Lecture Hall,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[2]"
MATH301,Linear Algebra,Major,3,2,1,Electronics,5,A,3,Lecture Hall,"[0, 1, 2, 3, 4]","[1, 3, 5]","[2]"
PHYS101,Physics I,Major,4,3,2,Computer Science,1,A,5,Physics Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[4]"
ENG101,Technical Writing,Skill,2,2,0,Computer Science,1,A,2,Classroom,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[1, 2, 3, 4, 5]"
EE401,Digital Electronics,Major,4,3,2,Electronics,5,A,6,Electronics Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7, 9]","[3]"
EE402,Control Systems,Major,4,3,2,Electronics,5,A,6,Electronics Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7, 9]","[3]"
EE403,Microprocessors,Major,3,2,2,Electronics,5,A,4,Computer Lab,"[0, 1, 2, 3, 4]","[1, 3, 5, 7]","[3, 5]"
